,model,p,dtrue,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ri_best_clus,CI_ris,ari_best_clus,CI_aris,ranges
0,APPLAM,100,2,2,2,500,0.123375,0.13377142857142857,0.1,2,2.0,0.0,0.9323823823823824,"(0.9320352845668575, 0.9321621784962054)",0.864764642809154,"(0.864070450035153, 0.8643242382943526)",-10.0
1,Isotropic,100,2,2,2,500,0.20574466488492776,0.12008571428571428,0.1,10,10.0,0.0014,0.5942542542542543,"(0.593978111223163, 0.5940375820701302)",0.1878683345651782,"(0.18731595959173233, 0.18743505514288486)",-10.0
2,APPLAM,100,2,2,2,500,0.12385,0.22625714285714285,0.1,2,2.0,0.0,0.9323823823823824,"(0.9331296572645431, 0.9332385125052265)",0.8647646298005426,"(0.8662591838762911, 0.8664768945493334)",-10.0
3,Isotropic,100,2,2,2,500,0.19360534403813587,0.17437142857142857,0.1,9,9.0,0.0016,0.6003243243243244,"(0.600940144513189, 0.6010086931244487)",0.20003234392384117,"(0.2012663782155221, 0.2014036622866696)",-10.0
4,APPLAM,100,2,2,2,500,0.1226125,0.1992,0.1,2,2.0,0.0,0.955013013013013,"(0.9545750166338567, 0.954673901083861)",0.9100259391173008,"(0.9091499456441605, 0.9093477147275433)",-10.0
5,Isotropic,100,2,2,2,500,0.21172666825983666,0.19851428571428573,0.1,10,10.4688,0.001,0.5941981981981982,"(0.5899834428599167, 0.5902566011841275)",0.18775350801153548,"(0.17931032964693872, 0.1798575429353314)",-10.0
6,APPLAM,100,2,2,2,500,0.1256125,0.2623142857142857,0.1,2,2.0,0.0,0.9361141141141142,"(0.9333225893065664, 0.9335246563390789)",0.8722281252938752,"(0.8666450823242117, 0.8670492156812343)",-10.0
7,Isotropic,100,2,2,2,500,0.19439327120885946,0.2679142857142857,0.1,10,10.0,0.0008,0.5876736736736736,"(0.5887838958630928, 0.5888306586914617)",0.17468812063414485,"(0.17691207421959942, 0.17700570087156542)",-10.0
8,APPLAM,100,2,2,2,500,0.1255625,0.1744857142857143,0.1,2,2.0,0.0,0.9305225225225225,"(0.9301728745129965, 0.9303026962577743)",0.8610449080393602,"(0.8603456136195946, 0.8606052574360863)",-10.0
9,Isotropic,100,2,2,2,500,0.19604558918877688,0.14817142857142857,0.1,9,9.1994,0.0014,0.6021101101101101,"(0.5997223076541709, 0.5999831546080912)",0.2036149682025191,"(0.19883151325530965, 0.19935414389638398)",-10.0
10,APPLAM,100,2,2,2,500,0.1248125,0.20722857142857143,0.1,2,2.0,0.0,0.956924924924925,"(0.9579029316211763, 0.9580772557662113)",0.9138497690517182,"(0.9158057878608992, 0.9161544367258894)",-10.0
11,Isotropic,100,2,2,2,500,0.2124886704610067,0.19745714285714286,0.1,10,10.0,0.0002,0.5967847847847848,"(0.5964877220955587, 0.596558107734271)",0.19293307744494317,"(0.19233887681233824, 0.19247984785597794)",-10.0
12,APPLAM,100,2,2,2,500,0.1208625,0.22057142857142858,0.1,2,2.0,0.0,0.937985985985986,"(0.935342816898977, 0.9354472924103325)",0.875971849683818,"(0.8706855087982456, 0.8708944599362961)",-10.0
