,model,p,dtrue,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris,ranges
0,APPLAM,15,2,3,4,50,0.26362138763779114,0.09614285714285714,10,8,7.751875,0.938125,0.6017894219501445,"(0.6386249279796933, 0.6437006419999242)",-10.0
1,Isotropic,15,2,3,4,50,0.27011803721462946,0.10085714285714285,10,8,8.0,0.97,0.6066699418465159,"(0.6163464228576828, 0.6177718892946137)",-10.0
2,APPLAM,15,2,4,4,50,0.19072292383444242,0.10828571428571429,10,6,6.380625,0.883125,0.8335140829795804,"(0.8011157085265698, 0.805291713408646)",-10.0
3,Isotropic,15,2,4,4,50,0.1619395152432327,0.06728571428571428,10,6,5.6475,0.845,0.8304846451582398,"(0.8646057630253401, 0.8689101298733977)",-10.0
4,APPLAM,15,2,3,4,50,0.28306758470737453,0.1645,10,8,7.904375,0.923125,0.7402958873733932,"(0.6675094633657677, 0.6729754178104039)",-10.0
5,Isotropic,15,2,3,4,50,0.23709081586276817,0.1482857142857143,10,6,5.676875,0.856875,0.8468052347959969,"(0.870231757808274, 0.8745112105918377)",-10.0
6,APPLAM,15,2,4,4,50,0.1143376254048503,0.153,10,4,4.074375,0.769375,1.0,"(0.9936825105184514, 0.9955561163897889)",-10.0
7,Isotropic,15,2,4,4,50,0.20073474972587463,0.13114285714285714,10,7,7.016875,0.868125,0.7402958873733932,"(0.7450903597241727, 0.7466388187485065)",-10.0
8,APPLAM,15,2,3,4,50,0.2567427605157472,0.13607142857142857,10,7,7.039375,0.849375,0.7432400220834403,"(0.7423777821393754, 0.7438374732710561)",-10.0
9,Isotropic,15,2,3,4,50,0.25109907613889776,0.2265,10,7,7.448125,0.936875,0.7307171853856563,"(0.695236156985168, 0.7020928637263412)",-10.0
10,APPLAM,15,2,4,4,50,0.13441766150682585,0.08478571428571428,10,4,4.058125,0.734375,1.0,"(0.99441386635873, 0.9962834247148676)",-10.0
11,Isotropic,15,2,4,4,50,0.12839141620863057,0.12807142857142856,10,4,4.0,0.7725,1.0,"(nan, nan)",-10.0
12,APPLAM,15,2,3,4,50,0.30413503875844194,0.10392857142857143,10,9,8.840625,1.026875,0.5780795600681571,"(0.6108275200235971, 0.6136407161848418)",-10.0
13,Isotropic,15,2,3,4,50,0.2594075651180279,0.1825,10,7,6.886875,0.916875,0.7307171853856563,"(0.7499055601846237, 0.7545414261500668)",-10.0
14,APPLAM,15,2,4,4,50,0.18100844069302532,0.08764285714285715,10,6,6.005,0.86,0.8335140829795804,"(0.8349705137233989, 0.8356543912862053)",-10.0
15,Isotropic,15,2,4,4,50,0.10911758608041082,0.17114285714285715,10,4,4.001875,0.758125,1.0,"(0.9999734120904608, 1.0000016288808091)",-10.0
16,APPLAM,15,2,3,4,50,0.2295203216147542,0.2312142857142857,10,7,6.386875,0.900625,0.7307171853856563,"(0.7856754727995762, 0.7968357784374923)",-10.0
17,Isotropic,15,2,3,4,50,0.26863391197098835,0.11621428571428571,10,8,7.788125,0.936875,0.6309647654801213,"(0.666021947423021, 0.6706311400623698)",-10.0
18,APPLAM,15,2,4,4,50,0.12143032610698275,0.11971428571428572,10,4,4.0,0.78,1.0,"(nan, nan)",-10.0
19,Isotropic,15,2,4,4,50,0.15405860995850623,0.10857142857142857,10,5,5.009375,0.775625,0.9262689885142645,"(0.9270662659897823, 0.9275792747815462)",-10.0
20,APPLAM,15,2,3,4,50,0.27262586089824425,0.08521428571428571,10,7,6.990625,0.915625,0.748932971841194,"(0.7467325296183355, 0.7485233622690225)",-10.0
21,Isotropic,15,2,3,4,50,0.2706355440202172,0.115,10,8,8.168125,0.959375,0.6173366056479109,"(0.6233010578348813, 0.6254712872255977)",-10.0
22,APPLAM,15,2,4,4,50,0.16749964457179103,0.09685714285714286,10,6,6.001875,0.874375,0.8174727174612708,"(0.8258859371516729, 0.8268367685944684)",-10.0
23,Isotropic,15,2,4,4,50,0.14126487328816872,0.17314285714285715,10,5,5.0,0.805,0.913956851694473,"(0.9143201199500768, 0.9147929070189591)",-10.0
24,APPLAM,15,2,3,4,50,0.24308858084027568,0.25142857142857145,10,7,6.881875,0.946875,0.7402958873733932,"(0.7497001730697771, 0.7573710829920014)",-10.0
25,Isotropic,15,2,3,4,50,0.2705496151300895,0.14035714285714285,10,8,8.4575,0.94625,0.6219610380449456,"(0.6086605161577094, 0.6114446295647908)",-10.0
26,APPLAM,15,2,4,4,50,0.1394512592270951,0.08935714285714286,10,5,4.643125,0.806875,0.913956851694473,"(0.9446956405178041, 0.9486923823998955)",-10.0
27,Isotropic,15,2,4,4,50,0.17809282351115022,0.09685714285714286,10,6,6.410625,0.874375,0.8181189950734524,"(0.7890291119953737, 0.7932096461437647)",-10.0
28,APPLAM,15,2,3,4,50,0.33284307928812157,0.1435,10,10,10.34375,1.0375,0.5246265424045679,"(0.5328018182424752, 0.5369188377624112)",-10.0
29,Isotropic,15,2,3,4,50,0.2840974200137843,0.15064285714285713,10,8,8.140625,0.988125,0.6202290076335878,"(0.6257028894208796, 0.62797687246536)",-10.0
30,APPLAM,15,2,4,4,50,0.10862011518872865,0.15057142857142858,10,4,4.0,0.74375,1.0,"(nan, nan)",-10.0
31,Isotropic,15,2,4,4,50,0.17973342073637058,0.15771428571428572,10,6,6.335625,0.880625,0.8316017526992721,"(0.8048328541756299, 0.8092350989162719)",-10.0
32,APPLAM,15,2,3,4,50,0.19456728636240037,0.15664285714285714,10,4,4.063125,0.781875,1.0,"(0.9949945460532024, 0.9966761371367274)",-10.0
33,Isotropic,15,2,3,4,50,0.2850882035689109,0.10171428571428572,10,9,8.4325,0.97375,0.5676572256219716,"(0.6128758002068528, 0.6187218584014693)",-10.0
34,APPLAM,15,2,4,4,50,0.12496530770242043,0.10435714285714286,10,4,4.15,0.75625,1.0,"(0.986207757148716, 0.98911150880827)",-10.0
35,Isotropic,15,2,4,4,50,0.1084641875454172,0.13057142857142856,10,4,4.0,0.7625,1.0,"(nan, nan)",-10.0
36,APPLAM,15,2,3,4,50,0.26891999134261596,0.1742857142857143,10,8,7.64875,0.90875,0.6261841614336274,"(0.6730048729723626, 0.6781347777480431)",-10.0
37,Isotropic,15,2,3,4,50,0.3445779292235537,0.1412857142857143,10,10,9.9675,0.99875,0.574081688539794,"(0.5520611040439313, 0.5557669254225445)",-10.0
38,APPLAM,15,2,4,4,50,0.1519728810037146,0.08142857142857143,10,5,5.00125,0.81375,0.913956851694473,"(0.9156166183094921, 0.916288895866079)",-10.0
39,Isotropic,15,2,4,4,50,0.17809146388061006,0.09778571428571428,10,6,6.00625,0.8725,0.8335140829795804,"(0.8345722767880769, 0.8352687282756363)",-10.0
