,model,p,dtrue,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris
0,APPLAM,100,2,2,4,50,0.14733595496954274,0.1468,5,6,6.49875,0.67625,0.8368524448156913,"(0.8251089943979785, 0.8297251983821646)"
1,Isotropic,100,2,2,4,50,0.1279368283139463,0.2042,5,6,5.66375,0.65875,0.916901746955536,"(0.8844058893801975, 0.8905151030137127)"
2,APPLAM,100,2,2,4,50,0.1692177404177906,0.1892,10,7,6.42625,0.88875,0.8921359168014713,"(0.8176940171069255, 0.8274726666977564)"
3,Isotropic,100,2,2,4,50,0.16031929803180794,0.2631,10,6,6.6675,0.87,0.8176343232498456,"(0.8246566967572916, 0.8297826333774071)"
4,APPLAM,100,2,2,4,50,0.16199582371689197,0.285,20,6,6.2925,1.095,0.8557475333027944,"(0.8200624662764368, 0.8265460528889294)"
5,Isotropic,100,2,2,4,50,0.21748787188029692,0.1919,20,9,8.8325,1.395,0.7073890671121119,"(0.6973832057967181, 0.7043009450075893)"
6,APPLAM,100,2,4,4,50,0.025386869334310044,0.1055,5,4,4.16125,0.61125,1.0,"(0.9934018809847573, 0.9955587204639742)"
7,Isotropic,100,2,4,4,50,0.020985956765773278,0.1008,5,4,4.09375,0.64875,1.0,"(0.992548558625277, 0.9953802793035132)"
8,APPLAM,100,2,4,4,50,0.030965058616513174,0.1252,10,4,4.17125,0.77125,1.0,"(0.9895176030745721, 0.9926121065225647)"
9,Isotropic,100,2,4,4,50,0.027555702729552014,0.1168,10,4,4.04375,0.72625,1.0,"(0.9981344361222866, 0.999179487985451)"
10,APPLAM,100,2,4,4,50,0.027494072587999272,0.0917,20,4,4.185,1.1375,1.0,"(0.9958685062394323, 0.9973541213592532)"
11,Isotropic,100,2,4,4,50,0.03420285436634211,0.1533,20,6,5.59,1.2375,0.913956851694473,"(0.8694291387635725, 0.8756598852312457)"
12,APPLAM,100,2,5,4,50,0.00757989782582868,0.0785,5,4,4.0,0.6075,1.0,"(nan, nan)"
13,Isotropic,100,2,5,4,50,0.01028560717883836,0.0594,5,4,4.02375,0.58625,1.0,"(0.9997716979022337, 0.999912154400519)"
14,APPLAM,100,2,5,4,50,0.017475601538896254,0.0785,10,4,4.0275,0.765,1.0,"(0.9970283030475798, 0.9977477251762897)"
15,Isotropic,100,2,5,4,50,0.02260269179631919,0.0716,10,4,4.00875,0.74875,1.0,"(0.9998988091045475, 0.9999847154280457)"
16,APPLAM,100,2,5,4,50,0.014644589700958844,0.1061,20,4,4.055,1.04,1.0,"(0.9989342351712548, 0.999560259695028)"
17,Isotropic,100,2,5,4,50,0.012505582849486378,0.0974,20,4,4.04125,1.11125,1.0,"(0.9996337306565957, 0.9998171707113432)"
18,APPLAM,200,2,2,4,50,0.14053468208092484,0.1227,5,6,6.51875,0.74125,0.8561981299406574,"(0.7946197567549167, 0.8010072166557534)"
19,Isotropic,200,2,2,4,50,0.148882945248584,0.1219,5,6,6.40875,0.68125,0.8462138521813424,"(0.7964376091265438, 0.8009674238777741)"
20,APPLAM,200,2,2,4,50,0.1545953630465359,0.1545,10,6,6.68625,0.91875,0.8330363210920014,"(0.8212112365018673, 0.8246453741097932)"
21,Isotropic,200,2,2,4,50,0.1712205631082386,0.1124,10,6,6.76,0.89,0.8561981299406574,"(0.8410304155214561, 0.8443509924102974)"
22,APPLAM,200,2,2,4,50,0.15551433650204807,0.0593,20,6,6.54375,1.24125,0.8029048690124878,"(0.7625365532648446, 0.7673047822173721)"
23,Isotropic,200,2,2,4,50,0.19326264537228505,0.0739,20,7,6.8575,1.19,0.849022772751839,"(0.8386365310571524, 0.8429369049237154)"
24,APPLAM,200,2,4,4,50,0.016107846526097477,0.0321,5,4,4.11625,0.65625,0.749436615848735,"(0.728934157441323, 0.7326633654203493)"
25,Isotropic,200,2,4,4,50,0.025898586587258316,0.0474,5,4,4.475,0.62,1.0,"(0.9690414790558946, 0.9739508672752932)"
26,APPLAM,200,2,4,4,50,0.03693810425595535,0.0383,10,5,4.95375,0.79125,0.9117426310043668,"(0.9169538714616228, 0.9219589925429945)"
27,Isotropic,200,2,4,4,50,0.035359139154646516,0.0554,10,5,4.67,0.7625,1.0,"(0.9485620457422622, 0.9543812829079049)"
28,APPLAM,200,2,4,4,50,0.03936700386789646,0.0564,20,6,5.65375,1.15125,0.8705940178468511,"(0.8885847498411038, 0.8955692192393282)"
29,Isotropic,200,2,4,4,50,0.027380540694481172,0.0498,20,5,4.92125,1.13375,0.9070777677156441,"(0.9182936291115523, 0.9242309526916782)"
30,APPLAM,200,2,5,4,50,0.020882092299302414,0.0377,5,4,4.43875,0.63625,1.0,"(0.9628356120326352, 0.9683235256053505)"
31,Isotropic,200,2,5,4,50,0.0073482803145909145,0.0356,5,4,4.0475,0.58,1.0,"(0.997109499576187, 0.9985717319330812)"
32,APPLAM,200,2,5,4,50,0.01504704737183647,0.0846,10,5,5.25,0.8125,0.9188114099207834,"(0.8979887937917046, 0.9031422046544302)"
