,n_dataset,model,p,d,M,npc,conc_dir,mode_nclus,avg_nclus,ari_best_clus,CI_aris
0,0,Lamb,1000,4,4,50,0.1,32,27.625,0.45887151597552683,"(0.47571943001547445, 0.544534245915229)"
1,0,Lamb,1000,4,4,50,0.5,29,29.5,0.44770119697121435,"(0.3976175345941837, 0.47402914280497077)"
2,0,Lamb,1000,4,4,50,1.0,23,26.75,0.6389173112866479,"(0.43573023934196103, 0.626137196415288)"
3,1,Lamb,1000,4,4,50,0.1,21,22.75,0.6101714803503271,"(0.6002387186779136, 0.6836666750797614)"
4,1,Lamb,1000,4,4,50,0.5,17,20.25,0.6753098128726314,"(0.5558500732588207, 0.6544473030602873)"
5,1,Lamb,1000,4,4,50,1.0,17,20.25,0.6753098128726314,"(0.5557724652877176, 0.6540047348997646)"
6,2,Lamb,1000,4,4,50,0.1,19,21.25,0.7842223491568114,"(0.7165963139754372, 0.7942507663174001)"
7,2,Lamb,1000,4,4,50,0.5,22,24.25,0.6878058735603111,"(0.6020635620669255, 0.6822335115626856)"
8,2,Lamb,1000,4,4,50,1.0,30,28.125,0.6779980891308693,"(0.6558189344480911, 0.7365349675814656)"
9,3,Lamb,1000,4,4,50,0.1,20,20.625,0.7340769555594497,"(0.7062076830184767, 0.7397823877995267)"
10,3,Lamb,1000,4,4,50,0.5,16,21.125,0.7653660924085426,"(0.5634952725315739, 0.7902155234886833)"
11,3,Lamb,1000,4,4,50,1.0,23,24.5,0.5525395039512297,"(0.5075765759186818, 0.5500964396938924)"
12,4,Lamb,1000,4,4,50,0.1,24,25.75,0.6055655058801248,"(0.4803392175231097, 0.605449289765784)"
13,4,Lamb,1000,4,4,50,0.5,22,25.75,0.6706022544948187,"(0.5497146804691182, 0.6703168062492617)"
14,4,Lamb,1000,4,4,50,1.0,26,28.5,0.48430731844610875,"(0.46375959818818613, 0.5439514774365795)"
15,5,Lamb,1000,4,4,50,0.1,21,24.375,0.40701528320705743,"(0.4060754681793579, 0.532277089788993)"
16,5,Lamb,1000,4,4,50,0.5,29,27.75,0.62790742813517,"(0.47852042981659093, 0.6284810143396083)"
17,5,Lamb,1000,4,4,50,1.0,26,27.0,0.483670121318906,"(0.4451467683447454, 0.5554467283671682)"
18,6,Lamb,1000,4,4,50,0.1,29,26.25,0.4221463119444676,"(0.4224172460481677, 0.528453791621162)"
19,6,Lamb,1000,4,4,50,0.5,23,22.25,0.6633340661231278,"(0.6062227008233655, 0.6425197008334517)"
20,6,Lamb,1000,4,4,50,1.0,24,26.625,0.5133946102649746,"(0.4611269436145032, 0.6050720985520942)"
21,7,Lamb,1000,4,4,50,0.1,17,17.125,0.6740482695305129,"(0.6148332410895547, 0.7049687596326693)"
22,7,Lamb,1000,4,4,50,0.5,20,22.625,0.7175662991094793,"(0.5839287911651712, 0.7139800887473939)"
23,7,Lamb,1000,4,4,50,1.0,20,23.375,0.7597579402023779,"(0.5479270988403913, 0.7083957089610642)"
24,8,Lamb,1000,4,4,50,0.1,22,25.25,0.663202655034299,"(0.5692421716711799, 0.7014817411389181)"
25,8,Lamb,1000,4,4,50,0.5,18,20.75,0.8784056093153463,"(0.7263925621903949, 0.877951034183816)"
26,8,Lamb,1000,4,4,50,1.0,29,26.5,0.5194009541813553,"(0.5042234917267503, 0.6355333456307786)"
27,9,Lamb,1000,4,4,50,0.1,24,26.125,0.6786000998754718,"(0.5690916364427965, 0.6650586146247566)"
28,9,Lamb,1000,4,4,50,0.5,26,25.125,0.6145004147622842,"(0.5252899109332143, 0.6556785356106809)"
