,n_dataset,model,p,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris
0,0,APPLAM,500,4,4,50,0.19542368151799833,0.05776923076923077,0.5,4,3.8148,0.6416,0.7136003837850804,"(0.7342841010092379, 0.7372953246526431)"
1,0,APPLAM,500,4,4,50,0.1925279210839617,0.051153846153846154,1.0,4,3.7578,1.093,0.7283698592460663,"(0.7430414055981271, 0.7466842388756749)"
2,0,APPLAM,500,4,4,50,0.22943290475758008,0.06153846153846154,5.0,6,5.7276,4.838,0.5192332198335997,"(0.6008800501876771, 0.6056344276805924)"
3,1,APPLAM,500,4,4,50,0.19482599322451494,0.07207692307692308,0.5,3,3.5652,0.6154,0.7111756168359942,"(0.68450903821535, 0.6874098693244235)"
4,1,APPLAM,500,4,4,50,0.21298017348203221,0.07769230769230769,1.0,4,4.3072,1.0156,0.6423800966262183,"(0.6501749361637242, 0.652764814436814)"
5,1,APPLAM,500,4,4,50,0.22236764904996165,0.06746153846153846,5.0,5,4.8424,4.9976,0.6394225729645547,"(0.6303646970643556, 0.6331363278149645)"
6,2,APPLAM,500,4,4,50,0.17365575104078607,0.045230769230769234,0.5,5,4.6282,0.621,0.7111756168359942,"(0.6906446310021082, 0.6982415739597791)"
7,2,APPLAM,500,4,4,50,0.1828978622327791,0.06184615384615385,1.0,5,5.5034,1.0216,0.5377312019123777,"(0.6845462720178199, 0.6915758562838068)"
8,2,APPLAM,500,4,4,50,0.20752731377839007,0.057846153846153846,5.0,8,7.8082,4.7366,0.7767988797495341,"(0.7280410728086455, 0.7325999585740399)"
9,3,APPLAM,500,4,4,50,0.03647562215783717,0.03823076923076923,0.5,3,3.7654,0.658,0.7111756168359942,"(0.6384691881480898, 0.6439641772398342)"
10,3,APPLAM,500,4,4,50,0.04530465412575883,0.055461538461538465,1.0,4,3.8526,1.0184,0.7111756168359942,"(0.6453855798960609, 0.6500155411693219)"
11,3,APPLAM,500,4,4,50,0.04692628404151512,0.06223076923076923,5.0,5,4.1136,4.6716,0.7111756168359942,"(0.635324752647293, 0.6393665458201937)"
12,4,APPLAM,500,4,4,50,0.15554717650711972,0.05730769230769231,0.5,3,3.2086,0.6974,0.7111756168359942,"(0.7271203430349367, 0.7307281391716258)"
13,4,APPLAM,500,4,4,50,0.1656404579888616,0.061615384615384614,1.0,5,4.4202,1.0858,0.7111756168359942,"(0.6852608708619747, 0.692031716865694)"
14,4,APPLAM,500,4,4,50,0.23884893529523868,0.063,5.0,8,7.9948,4.602,0.5023602241816589,"(0.5929513118207238, 0.6001414936696993)"
15,5,APPLAM,500,4,4,50,0.09165052502803547,0.08753846153846154,0.5,3,3.6106,0.6502,0.7111756168359942,"(0.6521775320144042, 0.6575484448744923)"
16,5,APPLAM,500,4,4,50,0.10016913399593318,0.08992307692307693,1.0,3,3.709,1.067,0.6886048206980772,"(0.6748195476978666, 0.6841794161290212)"
17,5,APPLAM,500,4,4,50,0.09916982348674136,0.08292307692307692,5.0,4,4.3348,4.9992,0.9734739568173101,"(0.8356378903668148, 0.8441338088839566)"
18,6,APPLAM,500,4,4,50,0.16853145764927405,0.05415384615384616,0.5,5,4.653,0.628,1.0,"(0.8380943849474732, 0.8455162557086068)"
19,6,APPLAM,500,4,4,50,0.17509962209772523,0.06053846153846154,1.0,5,5.0858,1.04,1.0,"(0.8495955055556794, 0.8562140094261108)"
20,6,APPLAM,500,4,4,50,0.2208749071490233,0.05269230769230769,5.0,8,7.7666,4.7346,0.7957607477252985,"(0.7566705463690112, 0.7617391449441039)"
21,7,APPLAM,500,4,4,50,0.19607105762687582,0.09446153846153846,0.5,4,3.9946,0.6224,0.8391752964835454,"(0.7894005192701201, 0.7921836439745367)"
22,7,APPLAM,500,4,4,50,0.21981365535707043,0.07938461538461539,1.0,6,5.7034,1.0036,0.6427210215893269,"(0.6412366641604557, 0.6450066633971065)"
23,7,APPLAM,500,4,4,50,0.24775696521328505,0.0833076923076923,5.0,7,6.481,4.795,0.6528125285496624,"(0.5752726233951762, 0.5784095836711993)"
24,8,APPLAM,500,4,4,50,0.1554735373585039,0.05830769230769231,0.5,4,4.2056,0.6334,0.7072196769375155,"(0.7539144438009714, 0.7642434463770335)"
25,8,APPLAM,500,4,4,50,0.15335171433887582,0.06615384615384616,1.0,4,4.3144,1.1084,1.0,"(0.7937768265805406, 0.8018796280240962)"
26,8,APPLAM,500,4,4,50,0.17718373870049442,0.062384615384615386,5.0,5,6.0568,4.738,0.9152830991911451,"(0.8389491337921942, 0.8433040587520686)"
27,9,APPLAM,500,4,4,50,0.19701642401204905,0.05523076923076923,0.5,4,4.235,0.6614,0.625378131410156,"(0.6059195890483767, 0.6082156016857033)"
28,9,APPLAM,500,4,4,50,0.16862587763289869,0.06676923076923078,1.0,4,3.6754,1.0432,0.6258062067299321,"(0.6537934313206668, 0.6559859860603745)"
29,9,APPLAM,500,4,4,50,0.20682634236266836,0.06715384615384615,5.0,6,5.914,4.9644,0.5369630291543348,"(0.5244952037289015, 0.5284608011251359)"
30,10,APPLAM,500,4,4,50,0.24643871000741668,0.06292307692307693,0.5,6,5.787,0.5748,0.5299873365299823,"(0.5221537178793013, 0.5233658231870039)"
31,10,APPLAM,500,4,4,50,0.2576210477491174,0.06884615384615385,1.0,6,6.0928,1.0476,0.4981957803417641,"(0.5358018904533155, 0.5396996731010346)"
32,10,APPLAM,500,4,4,50,0.26523284997211377,0.07561538461538461,5.0,7,6.5796,4.772,0.49545156931306855,"(0.5330694466361832, 0.5363193998647557)"
33,11,APPLAM,500,4,4,50,0.1923131927064712,0.073,0.5,4,3.9894,0.6232,0.7192266287017545,"(0.7407682484290488, 0.7431433339750206)"
34,11,APPLAM,500,4,4,50,0.18892258294684267,0.05976923076923077,1.0,4,4.0026,1.1,0.7185729879074035,"(0.7330111431080563, 0.735289039763176)"
35,11,APPLAM,500,4,4,50,0.23241946213057113,0.06146153846153846,5.0,6,6.3486,4.7002,0.5365363407105646,"(0.5546058880893185, 0.5574420281398949)"
36,12,APPLAM,500,4,4,50,0.21699766852163851,0.07515384615384615,0.5,5,4.559,0.6186,0.8028428053236819,"(0.7275819804083369, 0.7305315294856344)"
37,12,APPLAM,500,4,4,50,0.2049504251790692,0.07292307692307692,1.0,4,4.1628,1.046,0.7871452867120899,"(0.7356727837578305, 0.7385790598723256)"
38,12,APPLAM,500,4,4,50,0.32659071403328677,0.08007692307692307,5.0,11,9.6394,4.593,0.5028311434901935,"(0.5106853773446086, 0.5149256229694524)"
39,13,APPLAM,500,4,4,50,0.020541710743191714,0.07253846153846154,0.5,3,2.741,0.667,0.6933115814319342,"(0.5989720785046072, 0.6043092161924598)"
40,13,APPLAM,500,4,4,50,0.02463485394157663,0.08623076923076924,1.0,3,2.6668,1.1084,0.4962025316455696,"(0.5320265541250998, 0.5356793362713178)"
41,13,APPLAM,500,4,4,50,0.02395002441803679,0.07646153846153846,5.0,3,3.3018,5.053,0.6506215794520843,"(0.6554515454510565, 0.6591447769229539)"
42,14,APPLAM,500,4,4,50,0.15601269965959674,0.05484615384615384,0.5,4,4.4786,0.6534,0.6303626374088926,"(0.6421658054717745, 0.6449322983735619)"
43,14,APPLAM,500,4,4,50,0.176401675620666,0.059923076923076926,1.0,7,6.553,0.9736,0.4880127965279808,"(0.5492999671797426, 0.5534163906940347)"
44,14,APPLAM,500,4,4,50,0.22119266597081355,0.05015384615384615,5.0,8,7.7004,4.784,0.4897203059628151,"(0.5396967152730278, 0.5449229339248186)"
45,15,APPLAM,500,4,4,50,0.07083497399125444,0.06053846153846154,0.5,3,3.254,0.6994,0.47439933612260066,"(0.4492806027137328, 0.4566751826689889)"
46,15,APPLAM,500,4,4,50,0.0737158747092464,0.066,1.0,4,4.1338,1.0468,0.4724243780812927,"(0.44742498096996364, 0.4544095921124931)"
47,15,APPLAM,500,4,4,50,0.08724662518085659,0.05553846153846154,5.0,5,5.303,4.8426,0.6223772215367257,"(0.4835343429950908, 0.4901254338640051)"
48,16,APPLAM,500,4,4,50,0.1846401639944359,0.06707692307692308,0.5,4,4.0024,0.6422,0.632208632453777,"(0.7211175606854758, 0.7273608596946419)"
49,16,APPLAM,500,4,4,50,0.17343916424704903,0.07361538461538461,1.0,5,5.173,1.0174,0.5475211499811973,"(0.6613345888486017, 0.6689049573906165)"
50,16,APPLAM,500,4,4,50,0.18003139129008833,0.07361538461538461,5.0,6,6.2918,4.939,0.8312648898590524,"(0.7139710840184322, 0.7202856359047206)"
51,17,APPLAM,500,4,4,50,0.15560659502911983,0.049,0.5,4,4.4542,0.6298,0.6252354048964218,"(0.7097827292240968, 0.7165240443818877)"
52,17,APPLAM,500,4,4,50,0.17860102430343291,0.05423076923076923,1.0,5,5.5996,1.0314,0.5363481415458711,"(0.6412757620433448, 0.6482175140336416)"
53,17,APPLAM,500,4,4,50,0.18367080481780892,0.056,5.0,7,6.8752,4.9376,0.8067417914356576,"(0.7036512030822475, 0.7087361785765556)"
54,18,APPLAM,500,4,4,50,0.1673029156317202,0.06876923076923076,0.5,4,4.3496,0.6304,0.6275169462086189,"(0.6489814122379876, 0.6527089573198541)"
55,18,APPLAM,500,4,4,50,0.1933489198063189,0.05553846153846154,1.0,6,5.9662,1.0146,0.5498042811211056,"(0.5912539444000868, 0.5963111416427223)"
56,18,APPLAM,500,4,4,50,0.22560263574943698,0.045384615384615384,5.0,7,7.2966,4.793,0.8158553240361928,"(0.6118003563671187, 0.6178850869237281)"
