,n_dataset,model,p,d,M,npc,means_ar,lambda_ar,intensity,mode_nclus,avg_nclus,avg_nonalloc,ari_best_clus,CI_aris
0,0,APPLAM,500,4,4,250,0.21012968804766913,0.134,0.05,3,3.0,0.002,0.494863736253039,"(0.4937203207165497, 0.49413700009270667)"
1,0,APPLAM,500,4,4,250,0.18133333333333335,0.166,0.1,4,3.844,0.04,0.6307206709678457,"(0.6491600089039921, 0.6545628782654892)"
2,0,APPLAM,500,4,4,250,0.2084654793852159,0.184,0.2,6,5.21,0.198,0.9946613298492503,"(0.724795739068372, 0.7475302384583106)"
3,1,APPLAM,500,4,4,250,0.17551401869158878,0.124,0.05,3,3.0,0.002,0.7136715391229579,"(0.7133926331605696, 0.7134805436220619)"
4,1,APPLAM,500,4,4,250,0.15125173852573018,0.16266666666666665,0.1,3,3.046,0.05,0.7136715391229579,"(0.7136320901564378, 0.7136547746140557)"
5,1,APPLAM,500,4,4,250,0.1638709677419355,0.168,0.2,3,3.0,0.276,0.7136715391229579,"(0.7136715391229577, 0.7136715391229577)"
6,2,APPLAM,500,4,4,250,0.15776653550683906,0.1,0.05,3,3.0,0.008,0.7136715391229579,"(0.7136715391229577, 0.7136715391229577)"
7,2,APPLAM,500,4,4,250,0.15572050992415684,0.12733333333333333,0.1,4,3.848,0.054,0.9841445556857318,"(0.8284302895126489, 0.8506498932392387)"
8,2,APPLAM,500,4,4,250,0.16775162744116173,0.11666666666666667,0.2,5,4.824,0.198,0.6312456369598191,"(0.7373312987825558, 0.7593701958060666)"
9,3,APPLAM,500,4,4,250,0.3266944114149822,0.1,0.05,2,1.582,0.002,0.0,"(0.17194358060711434, 0.2026087329538721)"
10,3,APPLAM,500,4,4,250,0.32393186260821,0.15466666666666667,0.1,2,1.812,0.062,0.4404052592772513,"(0.22353184894473907, 0.253749719173171)"
11,3,APPLAM,500,4,4,250,0.24850361197110424,0.12933333333333333,0.2,3,2.67,0.236,0.33266533066132264,"(0.4129899621445815, 0.432412786409057)"
12,4,APPLAM,500,4,4,250,0.2121697357886309,0.19,0.05,3,3.446,0.002,0.7094418957507452,"(0.698731873454496, 0.704743568413666)"
13,4,APPLAM,500,4,4,250,0.22256262389619752,0.164,0.1,3,3.138,0.048,0.7136715391229579,"(0.7145014647044583, 0.7179935211548567)"
14,4,APPLAM,500,4,4,250,0.19814682822523164,0.17933333333333334,0.2,5,5.316,0.188,0.6006614712435938,"(0.6259103424243448, 0.6338041186273171)"
15,5,APPLAM,500,4,4,250,0.08339622641509434,0.17666666666666667,0.05,3,3.0,0.0,0.6956844646526815,"(0.6980584642342208, 0.6987729055141564)"
16,5,APPLAM,500,4,4,250,0.09245283018867924,0.13866666666666666,0.1,3,3.0,0.046,0.6313890374129818,"(0.6111991411484098, 0.6239876542983424)"
17,5,APPLAM,500,4,4,250,0.10096599179568612,0.14066666666666666,0.2,5,4.572,0.24,0.9920027578746534,"(0.9199249564962146, 0.9312233464451083)"
